year,slam,surface,date,champion,champion_ioc,seed,age,runner_up,runner_up_ioc,score
1968,Australian Open,Grass,19680119,Bill Bowrey,AUS,1,24,Juan Gisbert Sr,ESP,7-5 2-6 9-7 6-4
1968,Roland Garros,Clay,19680527,Ken Rosewall,AUS,2,33,Rod Laver,AUS,6-3 6-1 2-6 6-2
1968,Wimbledon,Grass,19680624,Rod Laver,AUS,1,29,Tony Roche,AUS,6-3 6-4 6-2
1968,US Open,Grass,19680829,Arthur Ashe,USA,5,25,Tom Okker,NED,14-12 5-7 6-3 3-6 6-3
1969,Australian Open,Grass,19690120,Rod Laver,AUS,1,30,Andres Gimeno,ESP,6-3 6-4 7-5
1969,Roland Garros,Clay,19690526,Rod Laver,AUS,1,30,Ken Rosewall,AUS,6-4 6-3 6-4
1969,Wimbledon,Grass,19690623,Rod Laver,AUS,1,30,John Newcombe,AUS,6-4 5-7 6-4 6-4
1969,US Open,Grass,19690827,Rod Laver,AUS,1,31,Tony Roche,AUS,7-9 6-1 6-2 6-2
1970,Australian Open,Grass,19700119,Arthur Ashe,USA,4,26,Dick Crealy,AUS,6-4 9-7 6-2
1970,Roland Garros,Clay,19700525,Jan Kodes,CZE,7,24,Zeljko Franulovic,CRO,6-2 6-4 6-0
1970,Wimbledon,Grass,19700622,John Newcombe,AUS,2,26,Ken Rosewall,AUS,5-7 6-3 6-2 3-6 6-1
1970,US Open,Grass,19700902,Ken Rosewall,AUS,3,35,Tony Roche,AUS,2-6 6-4 7-6 6-3
1971,Australian Open,Grass,19710307,Ken Rosewall,AUS,2,36,Arthur Ashe,USA,6-1 7-5 6-3
1971,Roland Garros,Clay,19710524,Jan Kodes,CZE,1,25,Ilie Nastase,ROU,8-6 6-2 2-6 7-5
1971,Wimbledon,Grass,19710621,John Newcombe,AUS,2,27,Stan Smith,USA,6-3 5-7 2-6 6-4 6-4
1971,US Open,Grass,19710901,Stan Smith,USA,2,24,Jan Kodes,CZE,3-6 6-3 6-2 7-6
1971,Australian Open,Grass,19711227,Ken Rosewall,AUS,2,37,Mal Anderson,AUS,7-6 6-3 7-5
1972,Roland Garros,Clay,19720522,Andres Gimeno,ESP,6,34,Patrick Proisy,FRA,4-6 6-3 6-1 6-1
1972,Wimbledon,Grass,19720626,Stan Smith,USA,1,25,Ilie Nastase,ROU,4-6 6-3 6-3 4-6 7-5
1972,US Open,Grass,19720830,Ilie Nastase,ROU,4,26,Arthur Ashe,USA,3-6 6-3 6-7 6-4 6-3
1972,Australian Open,Grass,19721226,John Newcombe,AUS,2,28,Onny Parun,NZL,6-3 6-7 7-5 6-1
1973,Roland Garros,Clay,19730521,Ilie Nastase,ROU,2,26,Nikola Pilic,CRO,6-3 6-3 6-0
1973,Wimbledon,Grass,19730625,Jan Kodes,CZE,2,27,Alex Metreveli,GEO,6-1 9-8 6-3
1973,US Open,Grass,19730829,John Newcombe,AUS,10,29,Jan Kodes,CZE,6-4 1-6 4-6 6-2 6-3
1973,Australian Open,Grass,19731226,Jimmy Connors,USA,2,21,Phil Dent,AUS,7-6 6-4 4-6 6-3
1974,Roland Garros,Clay,19740603,Bjorn Borg,SWE,3,17,Manuel Orantes,ESP,2-6 6-7 6-0 6-1 6-1
1974,Wimbledon,Grass,19740624,Jimmy Connors,USA,3,21,Ken Rosewall,AUS,6-1 6-1 6-4
1974,US Open,Grass,19740828,Jimmy Connors,USA,1,21,Ken Rosewall,AUS,6-1 6-0 6-1
1974,Australian Open,Grass,19741226,John Newcombe,AUS,2,30,Jimmy Connors,USA,7-5 3-6 6-4 7-6
1975,Roland Garros,Clay,19750604,Bjorn Borg,SWE,1,18,Guillermo Vilas,ARG,6-2 6-3 6-4
1975,Wimbledon,Grass,19750623,Arthur Ashe,USA,6,31,Jimmy Connors,USA,6-1 6-1 5-7 6-4
1975,US Open,Clay,19750827,Manuel Orantes,ESP,3,26,Jimmy Connors,USA,6-4 6-3 6-3
1975,Australian Open,Grass,19751226,Mark Edmondson,AUS,,21,John Newcombe,AUS,6-7 6-3 7-6 6-1
1976,Roland Garros,Clay,19760531,Adriano Panatta,ITA,8,25,Harold Solomon,USA,6-1 6-4 4-6 7-6
1976,Wimbledon,Grass,19760621,Bjorn Borg,SWE,4,20,Ilie Nastase,ROU,6-4 6-2 9-7
